[2026-09-08 10:49:39] START duration_hours=6 interval_seconds=5 gateway=192.168.4.1 external_target=8.8.8.8
[2026-09-08 10:59:50] gateway=OK gateway_rtt=5.8ms internet=OK internet_rtt=19.9ms gateway_error=none internet_error=none
[2026-09-08 10:59:55] gateway=OK gateway_rtt=6.5ms internet=OK internet_rtt=18.6ms gateway_error=none internet_error=none
[2026-09-08 11:00:00] gateway=OK gateway_rtt=7.1ms internet=OK internet_rtt=18.4ms gateway_error=none internet_error=none
[2026-09-08 11:00:05] gateway=OK gateway_rtt=5.6ms internet=OK internet_rtt=20.5ms gateway_error=none internet_error=none
[2026-09-08 11:00:11] gateway=OK gateway_rtt=6.4ms internet=OK internet_rtt=18.5ms gateway_error=none internet_error=none
[2026-09-08 11:00:16] gateway=OK gateway_rtt=6.6ms internet=OK internet_rtt=23.2ms gateway_error=none internet_error=none
[2026-09-08 11:00:21] gateway=OK gateway_rtt=6.5ms internet=OK internet_rtt=18.7ms gateway_error=none internet_error=none
[2026-09-08 11:00:26] gateway=OK gateway_rtt=5.0ms internet=OK internet_rtt=17.7ms gateway_error=none internet_error=none
[2026-09-08 11:00:31] gateway=OK gateway_rtt=9.6ms internet=OK internet_rtt=20.3ms gateway_error=none internet_error=none
[2026-09-08 11:00:36] gateway=OK gateway_rtt=5.9ms internet=OK internet_rtt=24.5ms gateway_error=none internet_error=none
[2026-09-08 11:00:41] gateway=OK gateway_rtt=7.0ms internet=OK internet_rtt=17.7ms gateway_error=none internet_error=none
[2026-09-08 11:00:46] gateway=OK gateway_rtt=8.0ms internet=OK internet_rtt=19.6ms gateway_error=none internet_error=none
[2026-09-08 11:00:51] gateway=OK gateway_rtt=10.0ms internet=OK internet_rtt=20.2ms gateway_error=none internet_error=none
[2026-09-08 11:00:56] gateway=OK gateway_rtt=6.4ms internet=OK internet_rtt=16.0ms gateway_error=none internet_error=none
[2026-09-08 11:01:01] gateway=OK gateway_rtt=8.3ms internet=OK internet_rtt=16.2ms gateway_error=none internet_error=none
[2026-09-08 11:01:06] gateway=OK gateway_rtt=9.3ms internet=OK internet_rtt=21.3ms gateway_error=none internet_error=none
[2026-09-08 11:01:11] gateway=OK gateway_rtt=8.6ms internet=OK internet_rtt=22.2ms gateway_error=none internet_error=none
