[SUMMARY] Log file: /Volumes/MOVESPEED/myCode/checkInternet/network_monitor_20260908_104939.txt
[SUMMARY] Total outage events detected: 142
[SUMMARY] Event 85: type=INTERNET_ONLY | start=2026-09-08 13:45:27 | end=2026-09-08 13:45:27 | duration=0s | gateway=OK->OK | internet=FAIL->FAIL
[SUMMARY] Event 86: type=INTERNET_ONLY | start=2026-09-08 13:49:08 | end=2026-09-08 13:49:18 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 87: type=INTERNET_ONLY | start=2026-09-08 13:53:51 | end=2026-09-08 13:54:01 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 88: type=INTERNET_ONLY | start=2026-09-08 14:06:54 | end=2026-09-08 14:07:14 | duration=20s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 89: type=INTERNET_ONLY | start=2026-09-08 14:07:45 | end=2026-09-08 14:07:55 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 90: type=INTERNET_ONLY | start=2026-09-08 14:08:00 | end=2026-09-08 14:08:30 | duration=30s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 91: type=INTERNET_ONLY | start=2026-09-08 14:08:45 | end=2026-09-08 14:08:55 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 92: type=INTERNET_ONLY | start=2026-09-08 14:14:33 | end=2026-09-08 14:14:53 | duration=20s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 93: type=INTERNET_ONLY | start=2026-09-08 14:15:04 | end=2026-09-08 14:15:14 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 94: type=INTERNET_ONLY | start=2026-09-08 14:15:29 | end=2026-09-08 14:15:39 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 95: type=INTERNET_ONLY | start=2026-09-08 14:15:49 | end=2026-09-08 14:16:19 | duration=30s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 96: type=INTERNET_ONLY | start=2026-09-08 14:19:06 | end=2026-09-08 14:19:16 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 97: type=INTERNET_ONLY | start=2026-09-08 14:19:21 | end=2026-09-08 14:19:31 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 98: type=INTERNET_ONLY | start=2026-09-08 14:20:31 | end=2026-09-08 14:21:02 | duration=30s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 99: type=INTERNET_ONLY | start=2026-09-08 14:22:07 | end=2026-09-08 14:22:27 | duration=20s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 100: type=INTERNET_ONLY | start=2026-09-08 14:23:33 | end=2026-09-08 14:23:53 | duration=20s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 101: type=INTERNET_ONLY | start=2026-09-08 14:25:04 | end=2026-09-08 14:25:24 | duration=20s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 102: type=INTERNET_ONLY | start=2026-09-08 14:26:45 | end=2026-09-08 14:26:55 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 103: type=INTERNET_ONLY | start=2026-09-08 14:28:02 | end=2026-09-08 14:28:32 | duration=30s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 104: type=INTERNET_ONLY | start=2026-09-08 14:29:43 | end=2026-09-08 14:30:03 | duration=20s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 105: type=INTERNET_ONLY | start=2026-09-08 14:31:14 | end=2026-09-08 14:31:24 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 106: type=INTERNET_ONLY | start=2026-09-08 14:32:34 | end=2026-09-08 14:32:54 | duration=20s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 107: type=INTERNET_ONLY | start=2026-09-08 14:34:05 | end=2026-09-08 14:34:25 | duration=20s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 108: type=INTERNET_ONLY | start=2026-09-08 14:35:31 | end=2026-09-08 14:36:01 | duration=30s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 109: type=INTERNET_ONLY | start=2026-09-08 14:37:12 | end=2026-09-08 14:37:32 | duration=20s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 110: type=INTERNET_ONLY | start=2026-09-08 14:38:33 | end=2026-09-08 14:39:03 | duration=30s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 111: type=INTERNET_ONLY | start=2026-09-08 14:40:19 | end=2026-09-08 14:40:29 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 112: type=INTERNET_ONLY | start=2026-09-08 14:41:35 | end=2026-09-08 14:41:55 | duration=20s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 113: type=INTERNET_ONLY | start=2026-09-08 14:43:11 | end=2026-09-08 14:43:31 | duration=20s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 114: type=INTERNET_ONLY | start=2026-09-08 14:45:43 | end=2026-09-08 14:45:53 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 115: type=INTERNET_ONLY | start=2026-09-08 14:47:09 | end=2026-09-08 14:47:29 | duration=20s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 116: type=INTERNET_ONLY | start=2026-09-08 14:48:40 | end=2026-09-08 14:48:50 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 117: type=INTERNET_ONLY | start=2026-09-08 14:50:05 | end=2026-09-08 14:50:15 | duration=10s | gateway=OK->OK | internet=FAIL->OK
